checkpoint,clause,review
"Supervision Personnel Information","Article 81.1 The supervision team consists of [Number of supervisors] supervisors. The chief supervisor, [Chief supervisor's name], holds a qualification certificate [Certificate number] with [Years of experience] years of experience in construction project supervision. The contact information of the supervision team is [Email address] and [Phone number].","This clause meets the checkpoint as it clearly provides the information of the supervision personnel, including the number, chief supervisor's details, and contact information."
"Supervision Personnel Information","Section 82.1 There are [Number of supervision staff] members in the supervision team. The lead supervisor, [Lead supervisor's name], has [Qualification details] and has supervised [Number of similar projects] similar projects. The supervision team's office address at the construction site is [Office address] and can be reached at [Contact number].","It aligns with the checkpoint by specifying the number of supervision staff, lead supervisor's qualifications and experience, and contact details including the office address."
"Supervision Personnel Information","Clause 83.1 The supervision team is composed of [Number of supervisors] individuals. The head supervisor, [Head supervisor's name], has a professional supervision qualification of [Qualification level] and has been engaged in construction supervision for [Work experience years]. The supervision team's communication channels include [WeChat group name] and [Telephone hotline].","This clause is in line with the checkpoint as it details the number of supervisors, head supervisor's qualification and work experience, and communication channels."
"Supervision Personnel Information","Article 84.1 The supervision staff consists of [Number of team members] people. The main supervisor, [Main supervisor's name], has a supervision certificate with [Certificate grade] and has supervised projects of [Project scale details] scale. The contact details of the supervision team are [Mailing address] and [Fax number].","It meets the checkpoint by stating the number of supervision staff, main supervisor's certificate grade and project experience, and contact details."
"Supervision Personnel Information","Section 85.1 The supervision team has [Number of supervision personnel] members. The senior supervisor, [Senior supervisor's name], has [Years of relevant experience] years of relevant experience and holds [Relevant professional certifications]. The supervision team can be contacted through [Online communication platform] and [Office phone number].","This clause satisfies the checkpoint by providing the number of supervision personnel, senior supervisor's experience and certifications, and contact methods."
"Supervision Facilities","Article 87.1 Party A shall provide the supervisor with office facilities including desks, chairs, computers, and printers at the construction site. The living facilities, such as dormitories and dining areas, will also be provided. The costs of these facilities will be borne by Party A.","This clause meets the checkpoint as it clearly states that Party A will provide office and living facilities for the supervisor at the construction site and bear the costs."
"Supervision Facilities","Section 88.1 Party A is responsible for setting up the supervisor's office at the construction site, equipped with office equipment like desks, chairs, and a photocopier. Temporary living quarters for the supervisor will be arranged nearby, with basic amenities. The expenses for all these facilities are covered by Party A.","It aligns with the checkpoint by specifying the facilities to be provided, their location, and that Party A bears the costs."
"Supervision Facilities","Clause 89.1 The supervisor's office at the construction site will be furnished by Party A with modern office furniture, high - speed internet access, and a dedicated phone line. Living facilities, including a single - occupancy dormitory and a shared kitchenette, will be provided. Party A will shoulder the costs associated with these facilities.","This clause is in line with the checkpoint as it details the specific office and living facilities and indicates Party A as the cost - bearer."
"Supervision Facilities","Article 90.1 Party A shall ensure the supervisor has a well - equipped office at the construction site, which includes office desks, ergonomic chairs, and a large - screen monitor. The living facilities will be a separate, self - contained unit with a bedroom, bathroom, and small living area. All costs related to these facilities are the responsibility of Party A.","It meets the checkpoint by clearly stating the office and living facilities provided and that Party A is accountable for the costs."
"Supervision Facilities","Section 91.1 Party A will supply the supervisor with an office space at the construction site, furnished with desks, chairs, and storage cabinets. The living facilities will be in a pre - fabricated building on - site, with a shared dining area. Party A will pay for the construction, installation, and maintenance of these facilities.","This clause satisfies the checkpoint by specifying the facilities and that Party A covers all associated costs."
"Special Quality Standards","Article 92.1 For this project, in addition to the standard construction quality requirements, all exterior wall finishes must have a durability of at least 20 years and be resistant to weathering and fading. The special quality standard for the waterproofing of the basement is that it should be able to withstand water pressure up to [X] psi without leakage.","This clause meets the checkpoint as it clearly states special quality standards for exterior wall finishes and basement waterproofing."
"Special Quality Standards","Section 93.1 The project requires that all electrical wiring must comply with a higher - than - normal safety standard, with an insulation rating of [Insulation value]. The special quality requirement for the roofing material is that it should have a fire - resistance rating of Class A.","It aligns with the checkpoint by specifying special quality standards for electrical wiring and roofing material."
"Special Quality Standards","Clause 94.1 All interior finishing materials used in this project must meet the [Green building standard name] green building standard, ensuring low - VOC emissions. The special quality standard for the installation of the elevator is that it should have a noise level of less than [X] decibels during operation.","This clause is in line with the checkpoint as it states special quality standards related to green building for interior materials and noise level for elevator installation."
"Special Quality Standards","Article 95.1 The construction of the foundation must meet a special quality standard where the settlement of the foundation under the designed load should not exceed [X] millimeters. All glass used in the building must be of a high - impact - resistant type with a safety rating of [Safety rating value].","It meets the checkpoint by clearly defining special quality standards for foundation settlement and glass safety."
"Special Quality Standards","Section 96.1 The project demands that all plumbing pipes should be made of a material with a corrosion - resistance lifespan of at least 30 years. The special quality requirement for the flooring material is that it should have a slip - resistance coefficient of at least [Coefficient value].","This clause satisfies the checkpoint by specifying special quality standards for plumbing pipes and flooring slip - resistance."
"Safety and Security","Article 97.1 The safety goal of this project is to achieve zero work - related fatalities and a reduction of non - fatal accidents by 50% compared to industry averages. Security arrangements include 24 - hour on - site security guards and a perimeter fencing system. The civilized construction requirements state that all construction waste must be cleared from the site daily.","This clause meets the checkpoint as it clearly defines safety goals, security arrangements, and civilized construction requirements."
"Safety and Security","Section 98.1 The project aims to ensure the safety of all on - site personnel with a safety goal of reducing lost - time injuries to less than [X] per 100,000 man - hours. Security measures involve the installation of surveillance cameras at key points around the construction site. Civilized construction requires that all construction activities should be carried out in a way that minimizes noise and dust pollution to the surrounding area.","It aligns with the checkpoint by specifying safety goals, security measures, and civilized construction requirements related to environmental impact."
"Safety and Security","Clause 99.1 The safety objective is to have no serious accidents during the entire construction period. Security arrangements include a secure access control system for all personnel entering the site. Civilized construction stipulates that all workers should wear clean and proper work uniforms at all times.","This clause is in line with the checkpoint as it defines safety objectives, security arrangements, and civilized construction requirements regarding worker appearance."
"Safety and Security","Article 100.1 The safety goal is to achieve a safety performance index of at least [Index value] throughout the project. Security measures include regular security patrols around the construction area. Civilized construction requires that all construction materials should be stored neatly and labeled properly.","It meets the checkpoint by stating safety goals, security measures, and civilized construction requirements for material storage."
"Safety and Security","Section 101.1 The project's safety aim is to prevent any major safety incidents. Security arrangements involve the use of security dogs for night - time patrols in addition to security guards. Civilized construction demands that all construction operations should follow a strict schedule to avoid disturbing the neighboring residents.","This clause satisfies the checkpoint by defining safety aims, security arrangements, and civilized construction requirements related to neighborly relations."
"Delay Penalties","Article 102.1 In case of delay caused by the contractor's fault, the delay penalty will be calculated as [Percentage value]% of the daily planned construction cost for each day of delay. The daily planned construction cost will be determined based on the project budget divided by the total planned construction days.","This clause meets the checkpoint as it clearly states the method for calculating delay penalties due to the contractor's fault."
"Delay Penalties","Section 103.1 If the contractor is responsible for the project delay, the penalty will be calculated as a fixed amount of [Penalty amount] per day of delay, plus an additional [Percentage value]% of the contract value for every week of delay.","It aligns with the checkpoint by specifying a method that includes both a fixed - daily amount and a percentage - based amount for weekly delays."
"Delay Penalties","Clause 104.1 The delay penalty for the contractor's fault will be calculated as the sum of the direct losses caused by the delay, such as additional labor costs and equipment rental fees, plus [Percentage value]% of the contract value for each day of delay.","This clause is in line with the checkpoint as it details a comprehensive method for calculating delay penalties considering direct losses and a percentage of the contract value."
"Delay Penalties","Article 105.1 In the event of delay due to the contractor, the penalty will be calculated as [Penalty amount] per day of delay, with an upper limit of [Percentage value]% of the total contract value. The delay days will be calculated from the agreed - upon completion date until the actual completion date.","It meets the checkpoint by stating a daily penalty amount with an upper limit and how to calculate the delay days."
"Delay Penalties","Section 106.1 The method for calculating delay penalties when the contractor is at fault is as follows: for the first 5 days of delay, a penalty of [Penalty amount] per day will be imposed; for delays exceeding 5 days, the penalty will be [Penalty amount] per day plus [Percentage value]% of the remaining project value for each additional day.","This clause satisfies the checkpoint by providing a tiered method for calculating delay penalties based on the length of the delay."
"Construction Plan","Article 107.1 The contractor, Party B, shall submit a detailed construction organization design to Party A within 10 days after the contract is signed. Any revisions to the construction schedule must be approved by Party A at least 7 days in advance. The preparation for commencement includes ensuring all construction equipment is on - site and operational 3 days before the start date.","This clause meets the checkpoint as it clearly defines the requirements for the construction organization design, schedule revisions, and commencement preparation."
"Construction Plan","Section 108.1 Party B must present a comprehensive construction organization design to Party A within 15 days of contract signing. Revisions to the construction schedule need to be submitted to Party A for review and approval 10 days before the proposed change. The preparation for commencement involves having all construction materials delivered to the site 5 days prior to the start date.","It aligns with the checkpoint by specifying time limits for the construction organization design submission, schedule revision approval, and commencement - related material delivery."
"Construction Plan","Clause 109.1 The construction organization design should be submitted by Party B to Party A within 7 days after the contract is executed. Any changes to the construction schedule must be accompanied by a detailed explanation and approved by Party A 5 days in advance. Preparation for commencement requires that all construction workers are trained and ready to start work 2 days before the start date.","This clause is in line with the checkpoint as it details requirements for the construction organization design, schedule changes, and worker - related commencement preparation."
"Construction Plan","Article 110.1 Party B is obligated to submit a well - structured construction organization design to Party A within 12 days of contract signing. Revisions to the construction schedule must be approved by Party A, and the submission for approval should be made 8 days before the planned change. Preparation for commencement includes setting up all temporary facilities at the construction site 4 days before the start date.","It meets the checkpoint by stating requirements for the construction organization design, schedule revisions, and temporary - facility - related commencement preparation."
"Construction Plan","Section 111.1 The contractor shall submit the construction organization design to Party A within 8 days after contract signing. Any adjustments to the construction schedule must be approved by Party A, with the submission for approval due 6 days before the proposed change. Preparation for commencement involves conducting a pre - start safety inspection of all construction equipment 1 day before the start date.","This clause satisfies the checkpoint by providing requirements for the construction organization design, schedule adjustments, and safety - related commencement preparation."
"Material and Equipment","Article 112.1 For materials and equipment supplied by the employer, Party A, the storage costs will be borne by Party B. Party B is responsible for providing a secure and weather - proof storage area. The storage cost will be calculated based on the area of the storage space used and the length of time the materials and equipment are stored, at a rate of [Cost per square meter per day] per square meter per day.","This clause meets the checkpoint as it clearly states the storage costs for materials and equipment supplied by the employer and how they are calculated."
"Material and Equipment","Section 113.1 The storage costs for employer - supplied materials and equipment will be paid by Party B. Party B must arrange a proper storage facility with temperature and humidity control if required. The storage cost will be a fixed amount of [Fixed amount] per month, regardless of the quantity of materials and equipment stored.","It aligns with the checkpoint by specifying that Party B bears the storage costs and providing a fixed - cost method for calculation."
"Material and Equipment","Clause 114.1 Party B is accountable for the storage costs of materials and equipment supplied by Party A. The storage area should be well - ventilated and protected from theft. The storage cost will be calculated as [Percentage value]% of the value of the materials and equipment stored per month.","This clause is in line with the checkpoint as it states Party B's responsibility for storage costs and a value - based method for calculation."
"Material and Equipment","Article 115.1 For the materials and equipment provided by Party A, Party B will bear the storage costs. Party B needs to ensure the storage location is easily accessible for handling. The storage cost will be determined based on the volume of the materials and equipment stored, at a rate of [Cost per cubic meter per day] per cubic meter per day.","It meets the checkpoint by stating Party B's responsibility for storage costs and a volume - based calculation method."
"Material and Equipment","Section 116.1 The storage costs for employer - supplied materials and equipment are the responsibility of Party B. Party B should provide a storage space that meets all safety and environmental requirements. The storage cost will be calculated as a combination of a fixed - base amount of [Base amount] and an additional amount of [Additional amount] per unit of material or equipment stored per day.","This clause satisfies the checkpoint by stating Party B's responsibility for storage costs and a combined - cost calculation method."
"Testing Facilities","Article 117.1 The construction site must be equipped with testing facilities for materials, including a compressive strength testing machine for concrete and a tensile strength testing machine for steel bars. The testing conditions should meet national standards, with a temperature range of [Temperature range] and a relative humidity of [Humidity range] during testing.","This clause meets the checkpoint as it clearly defines the testing facilities and conditions required at the construction site."
"Testing Facilities","Section 118.1 Party B is responsible for arranging testing facilities at the construction site, such as a non - destructive testing device for building components and a moisture content tester for wood. The testing environment should be free from vibrations and electromagnetic interference, and the testing temperature should be maintained at [Temperature value] degrees Celsius.","It aligns with the checkpoint by specifying the testing facilities and environmental conditions required at the construction site."
"Testing Facilities","Clause 119.1 The construction site shall have testing facilities like a chemical composition analyzer for construction materials and a leak - detection device for plumbing systems. The testing conditions should ensure accurate results, with a lighting level of [Lighting level] lux during visual inspections.","This clause is in line with the checkpoint as it details the testing facilities and lighting - related testing conditions at the construction site."
"Testing Facilities","Article 120.1 Party B must provide testing facilities at the construction site, including a thickness gauge for coatings and a hardness tester for metals. The testing area should be clean and dust - free, and the relative humidity during testing should be within [Humidity range]%.","It meets the checkpoint by stating the testing facilities and environmental conditions (dust - free and humidity) required at the construction site."
"Testing Facilities","Section 121.1 The construction site needs to be equipped with testing facilities such as a sound - level meter for noise testing and a smoke - density tester for fire - safety materials. The testing conditions should include proper ventilation to ensure the accuracy of gas - related tests, and the temperature should be within [Temperature range] degrees Celsius.","This clause satisfies the checkpoint by specifying the testing facilities and ventilation - and - temperature - related testing conditions at the construction site."
"Contract Price Risks","Article 122.1 The risk scope for the contract price includes fluctuations in the prices of major construction materials within ±10% of the base price stated in the contract. The risk cost will be calculated based on the quantity of materials used and the percentage of price change. If the price fluctuation of major materials exceeds 10%, the price adjustment will be made according to the actual price difference, and the adjustment formula is: Adjusted Price = Original Price + (Actual Price - Base Price * 1.1) * Quantity.","This clause meets the checkpoint as it clearly defines the risk scope, risk cost calculation method, and price adjustment method beyond the risk scope."
"Contract Price Risks","Section 123.1 The risk scope for contract price covers changes in labor costs within 15% of the initially budgeted labor cost. The risk cost is calculated by multiplying the budgeted labor hours by the percentage change in labor rate. When labor cost changes exceed 15%, the price adjustment will be made through a negotiated fixed - amount addition or subtraction to the contract price, with both parties considering market conditions and project progress.","It aligns with the checkpoint by specifying the risk scope for labor costs, the risk cost calculation method, and the price adjustment method when the risk scope is exceeded."
"Contract Price Risks","Clause 124.1 The risk scope for contract price includes any increase or decrease in equipment rental costs within 8% of the original rental budget. The risk cost is determined by multiplying the rental period by the percentage change in the rental rate of the equipment. If the equipment rental cost change exceeds 8%, the price adjustment will be based on a price - index method, where the adjustment factor is calculated using a pre - agreed index related to the equipment rental market.","This clause is in line with the checkpoint as it details the risk scope for equipment rental costs, the risk cost calculation method, and the price adjustment method beyond the risk scope."
"Contract Price Risks","Article 125.1 The risk scope for the contract price encompasses fluctuations in the cost of transportation of construction materials within 12% of the initial transportation budget. The risk cost is calculated as the product of the total weight of materials transported and the percentage change in the transportation cost per unit weight. When the transportation cost fluctuation exceeds 12%, the price adjustment will be made by re - evaluating the transportation contract and incorporating the new cost into the project price.","It meets the checkpoint by stating the risk scope for transportation costs, the risk cost calculation method, and the price adjustment method when the risk threshold is crossed."
"Contract Price Risks","Section 126.1 The risk scope for contract price includes changes in the cost of subcontracting services within 10% of the subcontracted budget. The risk cost is calculated as the percentage change in the subcontracting rate multiplied by the subcontracted value. If the cost of subcontracting services changes by more than 10%, the price adjustment will be made by comparing the new subcontracting quotations with the original ones and adjusting the contract price accordingly.","This clause satisfies the checkpoint by defining the risk scope for subcontracting costs, the risk cost calculation method, and the price adjustment method beyond the risk scope."
"Defect Liability Period","Article 127.1 The defect liability period for this project is 24 months from the date of project completion and acceptance. The contractor, Party B, is required to respond to any maintenance requests within 48 hours of receiving the notice.","This clause meets the checkpoint as it clearly defines the defect liability period and the reasonable time for the contractor to respond to maintenance requests."
"Defect Liability Period","Section 128.1 The defect liability period for the construction project is 18 months from the date of final inspection. Party B must reply to maintenance requests within 24 hours and start the maintenance work within 72 hours.","It aligns with the checkpoint by specifying the defect liability period and the time limits for the contractor's response and start of maintenance work."
"Defect Liability Period","Clause 129.1 The defect liability period of this project is 36 months after the project is deemed completed. The contractor is obliged to respond to maintenance requests within 72 hours and complete the maintenance work within [X] days depending on the nature of the defect.","This clause is in line with the checkpoint as it details the defect liability period and the time for the contractor to respond to maintenance requests and complete the work."
"Defect Liability Period","Article 130.1 The defect liability period for all aspects of the project is 20 months starting from the date of project handover. Party B should acknowledge maintenance requests within 12 hours and provide a detailed maintenance plan within 48 hours.","It meets the checkpoint by stating the defect liability period and the time for the contractor to acknowledge and plan for maintenance requests."
"Defect Liability Period","Section 131.1 The defect liability period for the project is 12 months from the date of successful commissioning. The contractor must respond to maintenance requests within 36 hours and complete minor maintenance tasks within 3 days and major tasks within [X] weeks.","This clause satisfies the checkpoint by defining the defect liability period and the time frames for the contractor's response and completion of maintenance tasks."
"Breach of Contract","Article 132.1 In case of a breach of contract by the employer, Party A, the liability shall be calculated as the sum of the direct losses suffered by the contractor, Party B, due to the breach, plus an additional 10% of the contract value as compensation for indirect losses. Party A shall bear all legal costs associated with resolving the breach. In case of a breach by the contractor, Party B, the liability is calculated as the cost of rectifying the breach, plus a penalty of 5% of the contract value for each week of delay in rectification. Party B shall also be responsible for any losses suffered by Party A as a result of the breach.","This clause meets the checkpoint as it clearly states the methods for calculating and bearing liabilities for breaches by both the employer and the contractor."
"Breach of Contract","Section 133.1 If Party A breaches the contract, the liability is calculated based on the actual damages caused to Party B, including lost profits, and Party A shall pay a penalty of [Penalty amount] per day of breach. Party A is also responsible for all costs related to any legal actions arising from the breach. For a breach by Party B, the liability is the cost of re - doing the non - compliant work, plus a percentage of the contract value, which is [Percentage value]% for each major non - compliance item. Party B shall bear all costs of legal defense and compensation for any losses to Party A.","It aligns with the checkpoint by specifying the liability calculation and bearing methods for breaches by both parties."
"Breach of Contract","Clause 134.1 In the event of a breach by the employer, Party A, the liability is determined by assessing the impact on the project schedule and cost. Party A shall pay for all additional costs incurred by Party B due to the breach, and an additional compensation equivalent to [X]% of the contract value for the disruption caused. If Party B breaches the contract, the liability is calculated as the cost of rectifying the defect, plus a fine of [Penalty amount] for each day of non - compliance. Party B shall also reimburse Party A for any losses in terms of reputation and business opportunities.","This clause is in line with the checkpoint as it details the liability calculation and bearing methods for breaches by both the employer and the contractor."
"Breach of Contract","Article 135.1 When Party A breaches the contract, the liability is calculated as the sum of the financial losses of Party B, including costs of alternative arrangements, and a compensation amount based on the severity of the breach, which could be up to 15% of the contract value. Party A is responsible for all legal fees. In case of a breach by Party B, the liability is the cost of fulfilling the original contract obligations correctly, plus a penalty of [Percentage value]% of the remaining contract value for each unfulfilled obligation. Party B shall bear all legal and financial consequences for the breach.","It meets the checkpoint by stating the liability calculation and bearing methods for breaches by both parties."
"Breach of Contract","Section 136.1 If Party A breaches the contract, the liability is calculated as the actual losses of Party B, including the cost of delay in project progress, and Party A shall pay a fixed - amount penalty of [Penalty amount] for each day of breach. Party A also bears all costs of dispute resolution. For a breach by Party B, the liability is the cost of repairing or replacing the defective work, plus a percentage of the contract value, which is [Percentage value]% for each item of non - compliance. Party B is responsible for any legal actions and damages to Party A.","This clause satisfies the checkpoint by defining the liability calculation and bearing methods for breaches by both the employer and the contractor."
"Dispute Resolution","Article 137.1 In case of any disputes arising from this contract, the parties agree to first attempt mediation. If mediation fails, either party may choose to resolve the dispute through arbitration. The arbitration shall be conducted in [Arbitration location] in accordance with the rules of [Arbitration institution].","This clause meets the checkpoint as it clearly states the choice of arbitration as a dispute resolution method after mediation."
"Dispute Resolution","Section 138.1 Any disputes related to this contract shall be initially subject to negotiation between the two parties. If negotiation does not lead to a solution, the parties agree to resolve the dispute through litigation. The litigation shall be filed at the [Jurisdictional court] court with jurisdiction over the project location.","It aligns with the checkpoint by specifying litigation as the dispute resolution method after negotiation."
"Dispute Resolution","Clause 139.1 In the event of a contract - related dispute, the parties will first engage in conciliation. If conciliation is unsuccessful, the parties have the option to either initiate arbitration in [Arbitration place] following the procedures of [Arbitration rules] or file a lawsuit at the [Court name] court.","This clause is in line with the checkpoint as it clearly presents both arbitration and litigation as options for dispute resolution after conciliation."
"Dispute Resolution","Article 140.1 For disputes arising from this contract, the parties will first try to reach an amicable settlement. If this fails, they may choose arbitration in [Arbitration venue] under the auspices of [Arbitration body]. If either party is not satisfied with the arbitration result, they can file an appeal to the [Appellate court] within [Appeal time limit].","It meets the checkpoint by stating arbitration as the primary post - settlement - failure method and an appeal option to the court."
"Dispute Resolution","Section 141.1 All disputes concerning this contract shall be first dealt with through friendly consultations. If the consultations do not succeed, the parties may opt for litigation at the [Proper court] court or arbitration in [Arbitration region] under the rules of [Arbitration regulations].","This clause satisfies the checkpoint by presenting both litigation and arbitration as options for dispute resolution after friendly consultations."
"Contract Consistency","Article 142.1 This construction project contract is based on the current valid version of the 'Construction Project Contract (Model Text)' (GF - 2017 - 0201). All terms and conditions of this contract are in compliance with the model text, and any deviations are clearly stated and justified in the special contract terms.","This clause meets the checkpoint as it clearly states the use of the 'Construction Project Contract (Model Text)' (GF - 2017 - 0201) and the compliance of the contract terms."
"Contract Consistency","Section 143.1 The contract is drafted in accordance with the 'Construction Project Contract (Model Text)' (GF - 2017 - 0201). All key elements such as contract structure, clauses related to payment, quality, and liability, are consistent with the model text. Any special provisions in this contract are supplementary and do not conflict with the model text.","It aligns with the checkpoint by indicating the use of the model text and the consistency of key contract elements."
"Contract Consistency","Clause 144.1 This contract adheres to the 'Construction Project Contract (Model Text)' (GF - 2017 - 0201). The general terms and the special contract terms are cross - checked to ensure that they are in line with the model text, and no contradictions have been found.","This clause is in line with the checkpoint as it shows the cross - checking of contract terms against the model text."
"Contract Consistency","Article 145.1 The 'Construction Project Contract (Model Text)' (GF - 2017 - 0201) serves as the basis for this contract. All relevant regulations and standards set by the model text are followed, and any unique requirements of this project are incorporated into the contract in a way that maintains consistency with the model text.","It meets the checkpoint by stating the use of the model text and the incorporation of project - specific requirements while maintaining consistency."
"Contract Consistency","Section 146.1 This construction project contract is developed based on the 'Construction Project Contract (Model Text)' (GF - 2017 - 0201). A review has been conducted to ensure that all contract clauses, including those in the contract agreement and special terms, are consistent with the model text, and any differences are clearly explained.","This clause satisfies the checkpoint by indicating the development of the contract based on the model text and the review for consistency."
"Consistency Check","Article 147.1 The contract agreement and special contract terms have been carefully reviewed to ensure their consistency. Any potential contradictions have been identified and resolved. For example, the payment terms in the contract agreement and the special terms related to progress - based payments are in harmony, and both refer to the same project milestones for payment.","This clause meets the checkpoint as it clearly states the consistency check and provides an example of consistent terms."
"Consistency Check","Section 148.1 A detailed comparison has been made between the contract agreement and the special contract terms. The quality - related clauses in both parts are consistent, with the same quality standards and inspection procedures being defined. In case of any future amendments, a cross - reference check will be performed to maintain consistency.","It aligns with the checkpoint by specifying the comparison of contract parts and the plan for maintaining consistency during amendments."
"Consistency Check","Clause 149.1 The contract agreement and special contract terms are cross - referenced to avoid contradictions. The liability clauses in both sections are consistent, with the same methods for calculating and bearing liabilities in case of breach by either party. Any new clauses added in the future will be subject to a consistency review.","This clause is in line with the checkpoint as it details the cross - referencing of contract terms and the review process for new clauses."
"Consistency Check","Article 150.1 A consistency audit has been carried out on the contract agreement and special contract terms. The clauses related to project scope in both parts are identical, and any changes in the project scope will be updated in both sections simultaneously to maintain consistency.","It meets the checkpoint by stating the consistency audit and the plan for updating terms to maintain consistency."
"Consistency Check","Section 151.1 The contract agreement and special contract terms are regularly monitored for consistency. The clauses regarding project schedule in both parts are in agreement, and any adjustments to the schedule will be reflected in both the contract agreement and special terms to avoid contradictions.","This clause satisfies the checkpoint by indicating the regular monitoring of contract terms for consistency."
"Bidding Document Alignment","Article 187.1 A detailed comparison matrix has been established to ensure that each section of the contract, from project scope to payment terms, is in line with the corresponding sections in the bidding documents [Bidding document reference] and bid award notice [Bid award notice reference]. Any variances are highlighted and justified in an annexure to the contract.","This clause meets the checkpoint as it clearly demonstrates a structured approach to verifying the consistency between the contract, bidding documents, and bid award notice. The use of a comparison matrix and an annexure for variances provides transparency and accountability."
"Bidding Document Alignment","Section 188.1 The contract drafting process involved a cross - referencing exercise with the bidding documents and bid award notice at every stage. As a result, the contract's technical specifications, delivery timelines, and bid - related conditions are all congruent with those in the bidding documents and bid award notice.","It aligns with the checkpoint by explaining the process of ensuring alignment during the contract drafting, which results in consistent technical, timeline, and condition - related aspects."
"Bidding Document Alignment","Clause 189.1 A pre - contract review committee was formed to assess the compatibility of the contract content with the bidding documents and bid award notice. Their findings indicate that the contract adheres strictly to the bidding requirements, with any additional terms being supplementary and not conflicting with the original bids.","This clause is in line with the checkpoint as it shows the use of a review committee to ensure compliance, and the conclusion that the contract meets the bidding requirements."
"Bidding Document Alignment","Article 190.1 The contract explicitly references the bidding documents and bid award notice throughout its clauses. For example, the project's key deliverables mentioned in the contract are verbatim from the bidding documents, and the bid award notice's conditions for contract execution are fully integrated into the contract terms.","It meets the checkpoint by demonstrating the explicit referencing of bidding - related documents in the contract and providing an example of consistent key deliverables."
"Bidding Document Alignment","Section 191.1 An independent legal review was conducted to verify the consistency of the contract with the bidding documents and bid award notice. The review report states that the contract is in full compliance, with all clauses either directly derived from or in harmony with the bidding - related documentation.","This clause satisfies the checkpoint by showing the use of an independent legal review and the resulting conclusion of full compliance."
"Optional Clauses","Article 192.1 In the contract template, all optional clauses have a pre - filled default value of 'N/A' in a light - gray font. This allows for easy identification and modification if a special agreement is reached. For example, the optional clause regarding the use of a particular construction technology that is not applicable in this project remains as 'N/A' in the contract.","This clause meets the checkpoint as it provides a clear method for handling optional clauses, including a visual indication of the default value and an example of its application."
"Optional Clauses","Section 193.1 For any optional clauses in the contract, a drop - down menu is provided in the digital version, with options 'N/A', '/' and 'Special Agreement'. If 'Special Agreement' is selected, a text box appears for the parties to detail the agreement. In the printed version, a note at the end of each optional clause indicates the use of 'N/A' or '/' if no special terms apply.","It aligns with the checkpoint by presenting an innovative approach for handling optional clauses in both digital and printed versions of the contract."
"Optional Clauses","Clause 194.1 All optional clauses in the contract are clearly marked with a symbol (e.g., *) and a footnote that explains the use of 'N/A' or '/' in case of no special agreements. For instance, the optional clause about providing additional on - site security measures, which is not relevant in this project, is marked as such with the appropriate footnote.","This clause is in line with the checkpoint as it shows how to clearly mark optional clauses and provide instructions for filling them."
"Optional Clauses","Article 195.1 A section in the contract's appendix is dedicated to explaining the handling of optional clauses. It states that in the absence of special agreements, optional clauses should be filled with 'N/A' and provides examples of how this has been done throughout the contract.","It meets the checkpoint by having a dedicated section in the appendix to clarify the handling of optional clauses and providing examples."
"Optional Clauses","Section 196.1 During the contract review process, each optional clause is checked to ensure it is either filled with 'N/A', '/' or contains a special agreement. The review summary includes a section on optional clauses, highlighting any that may need further attention.","This clause satisfies the checkpoint by demonstrating a review process for optional clauses to ensure compliance."
"Calendar Days","Article 197.1 The construction period in the contract is defined in calendar days as [Start date] - [End date]. A separate schedule attached to the contract breaks down each project activity with its start and end calendar days, and the sum of these activity - based calendar days equals the overall construction period.","This clause meets the checkpoint as it clearly defines the construction period in calendar days and shows how the individual activity - based calendar days align with the overall period."
"Calendar Days","Section 198.1 The contract includes a clause that states any adjustments to the construction period due to unforeseen circumstances will be made in calendar days. For example, if there is a delay due to weather, the new completion date will be calculated by adding the number of delay days to the original end - date in calendar days.","It aligns with the checkpoint by showing how adjustments to the construction period are handled in calendar days, with an example of weather - related delays."
"Calendar Days","Clause 199.1 A project management software is used to track the construction progress, and it is configured to display all schedules in calendar days. The contract references this software and requires that all parties use it to monitor the construction period's progress in calendar days.","This clause is in line with the checkpoint as it shows the use of a project management software to track progress in calendar days, as required by the contract."
"Calendar Days","Article 200.1 The contract states that the construction period in calendar days will be calculated based on a 7 - day week, including weekends and public holidays. A table in the contract shows the planned workdays and non - workdays within the construction period for easy reference.","It meets the checkpoint by clearly stating how the calendar days are calculated and providing a reference table for workdays and non - workdays."
"Calendar Days","Section 201.1 An audit of the construction period in calendar days is to be conducted every quarter. The audit report will compare the actual progress in calendar days with the planned progress and identify any discrepancies. The contract outlines the process for this audit.","This clause satisfies the checkpoint by establishing a quarterly audit process for the construction period in calendar days to ensure consistency."
"Quality Standards","Article 202.1 The general quality standard for the project is stated as 'qualified' in the main body of the contract. In the special contract terms, specific quality requirements for high - visibility areas, such as the building's entrance lobby, are detailed, including higher - grade finishing materials and stricter installation tolerances.","This clause meets the checkpoint as it clearly states the general quality standard and shows how special requirements are specified in the special contract terms."
"Quality Standards","Section 203.1 The contract specifies 'qualified' as the baseline quality standard. For areas with special functionality, like the data center in the building, the special contract terms define additional quality standards, such as enhanced electrical grounding and climate - control requirements.","It aligns with the checkpoint by presenting the baseline quality standard and examples of special quality requirements in the special contract terms."
